WKT,fid,gid,streetname,note
"LINESTRING (2.34843566276261 48.8639524009399,2.34898983355226 48.8638356508215)","1","1",Rue Mauconseil,
"LINESTRING (2.35533960853129 48.8653339865799,2.35553346105841 48.8652834805314)","8","8",,
"LINESTRING (2.35553346105841 48.8652834805314,2.35570162198229 48.8652396677993)","9","9",,
"LINESTRING (2.35974816852559 48.8626325833674,2.36057773773286 48.8633333452413)","37","37",Rue des Enfants Rouges,
"LINESTRING (2.34728426319119 48.8678792385433,2.34815160010643 48.8681440987567)","62","62",Rue Bourbon Villeneuve,
"LINESTRING (2.35176029923626 48.8620576876578,2.35242127791104 48.8618789944016,2.35320333764576 48.8616480921296,2.3534388904078 48.8615874426873)","63","63",Rue des Petits Champs,
"LINESTRING (2.35142712533783 48.8652237124559,2.35210320160089 48.865275490529,2.35358915577821 48.8658561658726)","118","118",Rue Grenéta,
"LINESTRING (2.35183698918404 48.8622223465758,2.35193794972044 48.8622213611579,2.35262766919567 48.8620384490367,2.35286150407283 48.8619748836581,2.35292242416946 48.8619748752991,2.35299513525252 48.8619748652798,2.35308258683705 48.8619480389945)","120","120",Rue du Maure,
"LINESTRING (2.35308258683705 48.8619480389945,2.3536421697364 48.861776381484)","139","139",Rue du Maure,
"LINESTRING (2.35318199572076 48.864799491181,2.35329082833127 48.8648163317733,2.35365044012237 48.8647138488906,2.35423406975591 48.8645490947319,2.35494345526765 48.8643369920985)","154","154",Rue Jean Robert,
"LINESTRING (2.36246115718948 48.8628564532656,2.36314111845214 48.8634513803098,2.36326559051261 48.863577489501)","163","163",Rue Charlot,
"LINESTRING (2.35293029176484 48.8643291829591,2.35470350140962 48.8637898621731)","164","164",Rue du Cimetière Saint-Nicolas,
"LINESTRING (2.35123126316431 48.8644448928466,2.35149248194006 48.8644048988516,2.3517322350135 48.8643750467495,2.35192876401139 48.8643853944436,2.35196020739782 48.8643827971822,2.35206437235035 48.8644035293572,2.35220980083942 48.8644009171569,2.35250655036287 48.8643853185798,2.35293029176484 48.8643291829591)","176","176",Passage de l'Ancre,
