WKT,fid,gid,streetname,note
"LINESTRING (652601.672757186 6863376.71976284,652703.437861772 6863348.8647086)","176","176",R BLONDEL,
"LINESTRING (652904.026286749 6863062.18123631,652880.187933131 6863081.38143555)","177","177",R BORDA,
"LINESTRING (653030.385991749 6863105.11849678,652996.800194718 6863035.40157473)","178","178",R SAINTE-ELISABETH,
"LINESTRING (652350.508314267 6862880.83512085,652393.622392327 6862894.47271106)","185","185",R DE TURBIGO,
"LINESTRING (652195.9830766 6862937.13267902,652323.602948945 6862892.06104268)","186","186",R TIQUETONNE,
"LINESTRING (652393.622392327 6862894.47271106,652387.774112111 6862912.52163988)","187","187",,
"LINESTRING (652323.602948945 6862892.06104268,652325.896817166 6862927.04136473)","211","211",R SAINT-DENIS,
"LINESTRING (652264.608335208 6862654.55970707,652282.08573542 6862711.41210767)","212","212",R SAINT-DENIS,
"LINESTRING (652205.243386312 6862730.05742029,652201.243720873 6862730.09101999)","217","217",R DE LA PETITE TRUANDERIE,
"LINESTRING (652393.622392327 6862894.47271106,652413.469516767 6862876.30616216)","244","244",R DE TURBIGO,
"LINESTRING (652826.788480869 6862914.83211219,652890.598302106 6862892.29597874)","257","257",R AU MAIRE,
"LINESTRING (652332.577005266 6862888.98568106,652350.508314267 6862880.83512085)","263","263",R DE TURBIGO,
"LINESTRING (652998.406289471 6863345.38522786,652981.945195741 6863290.52406452)","274","274",PAS,
"LINESTRING (653269.485905689 6863355.10581812,653366.712945757 6863263.28889794)","288","288",PL DE LA REPUBLIQUE,
"LINESTRING (652397.697404378 6863141.43583267,652465.515504243 6863119.86619653)","299","299",R REAUMUR,
"LINESTRING (653223.285008547 6862855.49925479,653252.114440903 6862835.25706278)","300","300",R PERREE,
"LINESTRING (652981.945195741 6863290.52406452,653235.311308879 6863215.39437128,653269.232922907 6863206.10919573)","301","301",R DE MESLAY,
"LINESTRING (652191.067823208 6862828.17525964,652178.816825467 6862798.27854605)","307","307",R MONDETOUR,
"LINESTRING (653151.416464428 6862752.10486499,653167.60010301 6862773.96850503)","311","311",R DE BEAUCE,
"LINESTRING (652393.622392327 6862894.47271106,652424.720662715 6862906.21127357)","397","397",R DE TURBIGO,
"LINESTRING (653061.366163733 6862983.85928396,653103.102110408 6862952.50871392,653139.855261118 6862923.20001176,653179.591331161 6862891.86624603)","400","400",R PERREE,
"LINESTRING (652165.246731868 6862730.39341128,652150.945521077 6862694.51402199)","425","425",R MONDETOUR,
"LINESTRING (652646.324364342 6862978.34822169,652649.240083427 6862968.32382734,652706.050538328 6862945.84660701)","431","431",R AU MAIRE,
"LINESTRING (653061.366163733 6862983.85928396,653078.58336394 6863009.71424552)","451","451",R DU TEMPLE,
"LINESTRING (652178.816825467 6862798.27854605,652163.448489383 6862754.4082051)","462","462",R MONDETOUR,
"LINESTRING (652959.005856005 6863297.71685592,652981.945195741 6863290.52406452)","483","483",R DE MESLAY,
"LINESTRING (652150.028842542 6862942.51865438,652195.9830766 6862937.13267902)","485","485",R TIQUETONNE,
"LINESTRING (652753.15616318 6863077.44927464,652815.924139957 6863049.92196053)","511","511",R CONTE,
"LINESTRING (653138.189946395 6862606.21803356,653206.890480148 6862689.63920854,653233.174183992 6862723.4177406)","516","516",R CHARLOT,
"LINESTRING (652917.679761019 6862783.06964028,652924.788455254 6862796.00971802)","520","520",R DU TEMPLE,
"LINESTRING (652218.602877772 6863010.94183858,652240.17238557 6863078.75992396)","523","523",R DUSSOUBS,
"LINESTRING (652325.896817166 6862927.04136473,652326.938739893 6862932.03255374)","587","587",R SAINT-DENIS,
"LINESTRING (652471.683064664 6863139.81417679,652479.884075785 6863163.7450353)","597","597",R DE PALESTRO,
"LINESTRING (653154.67807657 6863021.07430107,653161.618652942 6863014.01601524)","599","599",R DUPETIT THOUARS,
"LINESTRING (652228.686669582 6862782.85979704,652296.504596981 6862761.29031837)","626","626",R DU CYGNE,
"LINESTRING (652296.504596981 6862761.29031837,652311.982193086 6862818.1595665)","640","640",R SAINT-DENIS,
"LINESTRING (652182.564846208 6862649.24902046,652253.348851599 6862623.6547281)","671","671",R DES PRECHEURS,
"LINESTRING (652187.192774677 6863319.20277778,652196.965190484 6863292.12090963)","677","677",R DE DAMIETTE,
"LINESTRING (652479.884075785 6863163.7450353,652496.269302973 6863209.60692431)","702","702",R DE PALESTRO,
"LINESTRING (652811.823332372 6862918.95785909,652826.788480869 6862914.83211219)","709","709",R AU MAIRE,
"LINESTRING (653269.232922907 6863206.10919573,653280.038642909 6863183.01853476,653315.312581348 6863096.72271441)","726","726",R BERANGER,
"LINESTRING (652107.544287775 6863122.87361606,652240.17238557 6863078.75992396)","742","742",R SAINT-SAUVEUR,
"LINESTRING (652086.395237873 6862986.05269044,652205.225937493 6862966.05470694)","750","750",R MARIE STUART,
"LINESTRING (652138.534179228 6862883.61589473,652241.206485751 6862844.75385087)","785","785",R ETIENNE MARCEL,
"LINESTRING (652569.952529279 6863290.98702355,652581.203751857 6863320.8922237)","873","873",BD DE SEBASTOPOL,
"LINESTRING (652581.203751857 6863320.8922237,652590.404718182 6863344.81470781)","874","874",BD DE SEBASTOPOL,
"LINESTRING (652557.67618289 6863258.0904705,652569.952529279 6863290.98702355)","875","875",BD DE SEBASTOPOL,
"LINESTRING (652472.766877179 6863387.80292707,652590.404718182 6863344.81470781)","876","876",PAS LEMOINE,
"LINESTRING (652386.446243719 6863111.53066038,652452.214078118 6863083.97832399)","877","877",PAS BASFOUR,
"LINESTRING (652601.672757186 6863376.71976284,652612.915592135 6863405.62505946)","879","879",BD DE SEBASTOPOL,
"LINESTRING (652590.404718182 6863344.81470781,652601.672757186 6863376.71976284)","880","880",BD DE SEBASTOPOL,
