WKT,fid,gid,streetname,note
"LINESTRING (652157.711605949 6863350.43258271,651999.315953998 6863271.29238342)","906","906",,
"LINESTRING (652160.0070141 6863387.59342941,652030.382051481 6863429.0274833)","948","948",,
"LINESTRING (652158.326809056 6862845.61385567,652074.433385525 6862851.13440633)","1034","1032",,
"LINESTRING (652164.890455533 6862923.00278971,652159.081545626 6862925.07328373,652109.575478029 6862932.91206953,652090.910005324 6862943.11575236)","1059","1059",,
"LINESTRING (652221.368572989 6862953.91658641,652097.951394779 6862971.29372029)","1066","1066",,
"LINESTRING (652234.193900684 6862998.43314517,652224.474103433 6863003.36409018,652106.313228549 6863033.18273349)","1077","1077",,
"LINESTRING (652255.758754718 6863070.18667383,652129.823511787 6863101.65775387,652117.239172568 6863105.69711772)","1088","1088",,
"LINESTRING (652116.332819445 6862707.76290476,652158.599420791 6862710.82260918)","1090","1090",,
"LINESTRING (652160.766679661 6862762.65055686,652123.570550346 6862774.34564061)","1102","1102",,
"LINESTRING (652127.151723413 6863195.30382883,652173.984956519 6863186.51891452)","1117","1117",,
"LINESTRING (652207.331112749 6863271.80852475,652130.062387171 6863235.40395417)","1125","1125",,
"LINESTRING (652259.736558115 6862575.79921415,652245.100571001 6862581.43532778,652131.32759522 6862619.79020425)","1131","1131",,
"LINESTRING (652194.276145461 6863309.7520105,652140.938029416 6863286.22157242)","1142","1142",,
"LINESTRING (652157.711605949 6863350.43258271,652140.938029416 6863286.22157242)","1143","1143",,
"LINESTRING (652158.599420791 6862710.82260918,652141.952391626 6862662.30521668)","1149","1149",,
"LINESTRING (652175.062386581 6862651.87996209,652141.952391626 6862662.30521668)","1150","1150",,
"LINESTRING (652285.75525766 6863410.95545854,652157.711605949 6863350.43258271)","1155","1155",,
"LINESTRING (652160.0070141 6863387.59342941,652157.711605949 6863350.43258271)","1156","1156",,
"LINESTRING (652164.890455533 6862923.00278971,652158.326809056 6862845.61385567)","1158","1158",,
"LINESTRING (652158.326809056 6862845.61385567,652175.459506068 6862844.48644274)","1159","1159",,
"LINESTRING (652162.287923587 6863425.08958154,652160.0070141 6863387.59342941)","1160","1160",,
"LINESTRING (652158.599420791 6862710.82260918,652192.814038454 6862712.00341826)","1161","1161",,
"LINESTRING (652197.585850197 6863434.09717593,652162.287923587 6863425.08958154)","1162","1162",,
"LINESTRING (652162.287923587 6863425.08958154,652166.739745021 6863522.51930395)","1163","1163",,
"LINESTRING (652175.459506068 6862844.48644274,652160.766679661 6862762.65055686)","1164","1164",,
"LINESTRING (652160.766679661 6862762.65055686,652202.79062601 6862747.54178058)","1165","1165",,
"LINESTRING (652212.393813026 6862916.72354812,652164.890455533 6862923.00278971)","1175","1175",,
"LINESTRING (652199.861885622 6863211.42885897,652193.787421599 6863212.93913169,652173.984956519 6863186.51891452)","1193","1193",,
"LINESTRING (652173.984956519 6863186.51891452,652282.056686511 6863155.4814043)","1194","1194",,
"LINESTRING (652232.317519659 6862846.93358449,652218.4842749 6862845.53612066,652183.355691737 6862846.98754028,652175.459506068 6862844.48644274)","1203","1203",,
"LINESTRING (652186.033825311 6862691.88988895,652175.062386581 6862651.87996209)","1204","1204",,
"LINESTRING (652275.276154758 6862621.44861937,652175.062386581 6862651.87996209)","1205","1205",,
"LINESTRING (652186.033825311 6862691.88988895,652192.814038454 6862712.00341826)","1221","1221",,
"LINESTRING (652286.560169614 6862657.81286028,652186.033825311 6862691.88988895)","1222","1222",,
"LINESTRING (652237.368757024 6862718.91633166,652233.055267993 6862719.74167645,652192.814038454 6862712.00341826)","1231","1231",,
"LINESTRING (652192.814038454 6862712.00341826,652202.79062601 6862747.54178058)","1232","1232",,
"LINESTRING (652232.066919679 6863325.60812747,652194.276145461 6863309.7520105)","1233","1233",,
"LINESTRING (652194.276145461 6863309.7520105,652207.331112749 6863271.80852475)","1236","1236",,
"LINESTRING (652228.869285789 6863442.14808976,652197.585850197 6863434.09717593)","1243","1243",,
"LINESTRING (652199.14139058 6863517.1692836,652197.585850197 6863434.09717593)","1244","1244",,
"LINESTRING (652199.861885622 6863211.42885897,652217.866641317 6863233.8940708)","1252","1252",,
"LINESTRING (652252.202983573 6863198.41546144,652199.861885622 6863211.42885897)","1253","1253",,
"LINESTRING (652214.404669389 6862786.17948427,652202.79062601 6862747.54178058)","1265","1265",,
"LINESTRING (652226.12004239 6862728.22856344,652202.79062601 6862747.54178058)","1266","1266",,
"LINESTRING (652207.331112749 6863271.80852475,652217.866641317 6863233.8940708)","1268","1268",,
"LINESTRING (652221.368572989 6862953.91658641,652220.404627302 6862947.07668296,652212.393813026 6862916.72354812)","1280","1280",,
"LINESTRING (652344.864396765 6862890.03804248,652290.713648119 6862908.75807223,652265.421781721 6862912.20166592,652212.393813026 6862916.72354812)","1281","1281",,
"LINESTRING (652222.67025719 6862816.28058546,652214.404669389 6862786.17948427)","1282","1282",,
"LINESTRING (652241.811611144 6862777.96715733,652214.404669389 6862786.17948427)","1283","1283",,
"LINESTRING (652217.866641317 6863233.8940708,652219.136940682 6863236.43134315,652252.414425061 6863243.81657514)","1288","1288",,
"LINESTRING (652234.193900684 6862998.43314517,652221.368572989 6862953.91658641)","1297","1297",,
"LINESTRING (652232.317519659 6862846.93358449,652222.67025719 6862816.28058546)","1298","1298",,
"LINESTRING (652222.67025719 6862816.28058546,652251.447189507 6862808.50968158)","1299","1299",,
"LINESTRING (652241.811611144 6862777.96715733,652226.12004239 6862728.22856344)","1306","1306",,
"LINESTRING (652237.368757024 6862718.91633166,652226.12004239 6862728.22856344)","1307","1307",,
"LINESTRING (652263.969462572 6863451.51872513,652228.869285789 6863442.14808976)","1308","1308",,
"LINESTRING (652228.869285789 6863442.14808976,652232.747184252 6863511.63543507)","1309","1309",,
"LINESTRING (652306.63078231 6863359.66640813,652232.066919679 6863325.60812747)","1313","1313",,
"LINESTRING (652232.066919679 6863325.60812747,652254.83339883 6863274.30610955)","1314","1314",,
"LINESTRING (652259.326121016 6862836.48985822,652232.317519659 6862846.93358449)","1320","1320",,
"LINESTRING (652255.758754718 6863070.18667383,652238.682641138 6863008.96524962,652234.193900684 6862998.43314517)","1323","1323",,
"LINESTRING (652357.120756255 6862971.92687252,652258.550490859 6862998.12339549,652249.796662351 6862992.47511494,652247.540992514 6862992.19676885,652234.193900684 6862998.43314517)","1324","1324",,
"LINESTRING (652300.676330338 6862703.98071845,652254.715982673 6862717.18127279,652237.368757024 6862718.91633166)","1336","1336",,
"LINESTRING (652251.447189507 6862808.50968158,652241.811611144 6862777.96715733)","1343","1343",,
"LINESTRING (652318.902063724 6862758.0086149,652247.643754746 6862776.21959022,652241.811611144 6862777.96715733)","1346","1346",,
"LINESTRING (652252.414425061 6863243.81657514,652251.38987722 6863226.40475395)","1367","1367",,
"LINESTRING (652254.83339883 6863274.30610955,652252.414425061 6863243.81657514)","1370","1370",,
"LINESTRING (652259.326121016 6862836.48985822,652251.447189507 6862808.50968158)","1371","1371",,
"LINESTRING (652259.736558115 6862575.79921415,652251.534741929 6862545.90757066)","1374","1374",,
"LINESTRING (652441.980260103 6863226.7361747,652254.83339883 6863274.30610955)","1378","1378",,
"LINESTRING (652282.056686511 6863155.4814043,652259.375483362 6863079.24166546,652255.758754718 6863070.18667383)","1380","1380",,
"LINESTRING (652369.914269412 6863040.25623028,652255.758754718 6863070.18667383)","1381","1381",,
"LINESTRING (652333.932462947 6862807.64093006,652259.326121016 6862836.48985822)","1388","1388",,
"LINESTRING (652275.276154758 6862621.44861937,652271.433668902 6862613.08227732,652259.736558115 6862575.79921415)","1394","1394",,
"LINESTRING (652259.736558115 6862575.79921415,652309.812714514 6862557.76261755)","1395","1395",,
