WKT,fid,gid,streetname,note
"LINESTRING (652870.016840276 6862695.97741455,652875.508645718 6862692.86660252)","5","5",,
"LINESTRING (652412.668575125 6862935.1286526,652424.409891606 6862992.76757222)","14","15",Rue Bourg l'Abbé,c
"LINESTRING (652735.750144168 6863333.25425861,652699.408861037 6863342.89876367)","71","72",Cul de Sac de la Planchette,c
"LINESTRING (652699.408861037 6863342.89876367,652680.324412652 6863295.12184127)","83","84",Rue Saint Martin,c
"LINESTRING (652410.044098445 6863175.0483198,652472.211101633 6863163.94170207,652564.807660948 6863254.6863048,652580.026381067 6863287.55641324)","90","91",Rue de l' Egoût du Pontceau,c
"LINESTRING (652477.37455858 6863407.9590289,652605.750971606 6863374.06898047)","96","97",Rue Neuve Saint Denis,c
"LINESTRING (652605.750971606 6863374.06898047,652701.017585913 6863349.11128474)","110","111",Rue Neuve Saint Denis,c
"LINESTRING (652594.555331588 6863338.36332357,652605.750971606 6863374.06898047)","122","123",,
"LINESTRING (652710.552207698 6863372.37880878,652701.017585913 6863349.11128474)","140","141",Rue Saint Martin,c
"LINESTRING (652701.017585913 6863349.11128474,652699.408861037 6863342.89876367)","153","154",Rue Saint Martin,c
"LINESTRING (652126.818248211 6862710.93765265,652162.87830275 6862724.07050293)","163","164",Rue Pirouette,c
"LINESTRING (653226.739241613 6862723.22042733,653283.302743338 6862677.97749889)","167","168",rue de Bretagne,
"LINESTRING (653245.539289907 6862829.42942714,653188.325032428 6862754.7014776)","173","174",rue du Beaujolois,
"LINESTRING (653226.739241613 6862723.22042733,653188.325032428 6862754.7014776)","174","175",rue de la Corderie,
"LINESTRING (653245.539289907 6862829.42942714,653287.197607319 6862800.42802677)","183","185",rue de Forez,
"LINESTRING (653287.197607319 6862800.42802677,653226.739241613 6862723.22042733)","185","187",rue Charlot,
"LINESTRING (652162.87830275 6862724.07050293,652164.73957067 6862729.50179785)","187","189",Rue Mondelour,c
"LINESTRING (653267.14490436 6863207.50095903,652710.552207698 6863372.37880878)","235","237",Rue de Meslai,c
"LINESTRING (652726.737584128 6863418.36346291,652827.102310264 6863385.0653908,653320.865187747 6863271.77574653,653344.478577116 6863256.42065781)","242","244",Boulevard Saint Martin,c
"LINESTRING (652847.309479419 6863005.96103335,652873.375938659 6863068.96125692)","254","256",Rue de la Croix,c
"LINESTRING (652873.375938659 6863068.96125692,652921.041954974 6863182.23088428)","255","257",Rue de la Croix,c
"LINESTRING (652838.879260643 6863009.25643148,652847.309479419 6863005.96103335)","256","258",Rue Phelipeaux,c
"LINESTRING (652857.197976713 6862811.54872006,652924.309730523 6862978.21975677)","259","261",rue des Vertus,
"LINESTRING (652857.197976713 6862811.54872006,652915.689799874 6862786.36104257)","260","262",Rue des Gravilliers,c
"LINESTRING (652340.111832534 6862986.57639207,652424.409891606 6862992.76757222)","262","264",rue Greneta,
"LINESTRING (652847.309479419 6863005.96103335,652924.309730523 6862978.21975677)","264","266",Rue Phelipeaux,c
"LINESTRING (652427.928235524 6862763.24039102,652406.462481349 6862715.12463434,652394.492334656 6862673.46542284)","265","267",rue Quinquenpoix,
"LINESTRING (652394.492334656 6862673.46542284,652351.689096969 6862549.27203711)","266","268",rue Quinquenpoix,
"LINESTRING (652427.928235524 6862763.24039102,652481.596315764 6862739.43033069)","268","270",Rue aux Ours,c
"LINESTRING (653211.225677479 6863174.49685848,652939.833632772 6863231.9010311)","281","283",Rue Nôtre Dame de Nazareth,c
"LINESTRING (652921.041954974 6863182.23088428,653069.811591184 6863134.26630969,653139.005839854 6863104.09909413)","282","284",Rue Neuve Saint Laurent,c
"LINESTRING (653211.225677479 6863174.49685848,653162.728325941 6863137.1046577,653139.005839854 6863104.09909413)","283","285",Rue du Temple,c
"LINESTRING (652680.324412652 6863295.12184127,652939.833632772 6863231.9010311)","284","286",Rue Neuve Saint Martin,c
"LINESTRING (652921.041954974 6863182.23088428,652724.512313217 6863253.95365855,652671.076470966 6863269.35121255)","288","290",Rue du Vert Bois,c
"LINESTRING (653267.14490436 6863207.50095903,653380.620847162 6862922.12574603)","290","292",rue de Vendôme,
"LINESTRING (653344.478577116 6863256.42065781,653267.14490436 6863207.50095903)","292","294",Rue du Temple,c
"LINESTRING (653267.14490436 6863207.50095903,653211.225677479 6863174.49685848)","293","295",Rue du Temple,c
"LINESTRING (652726.737584128 6863418.36346291,652710.552207698 6863372.37880878)","295","297",Rue Saint Martin,c
"LINESTRING (652494.839907181 6862774.66139922,652627.949221761 6862712.53717374)","296","298",Rue Grenier Saint Lazare,c
"LINESTRING (652494.839907181 6862774.66139922,652481.596315764 6862739.43033069)","297","299",Rue Saint Martin,c
"LINESTRING (652627.949221761 6862712.53717374,652644.420116723 6862771.2256055)","306","308",Rue Transnoniain,c
"LINESTRING (652644.420116723 6862771.2256055,652662.37090601 6862833.16978728)","307","309",Rue Transnoniain,c
"LINESTRING (652662.37090601 6862833.16978728,652682.085351838 6862888.92597932)","308","310",Rue Transnoniain,c
"LINESTRING (652682.085351838 6862888.92597932,652703.291903891 6862949.39033515)","309","311",Rue Transnoniain,c
"LINESTRING (652703.291903891 6862949.39033515,652805.806090488 6862919.47833899)","310","312",Rue Aumaire,c
"LINESTRING (652644.420116723 6862771.2256055,652855.330952135 6862676.85505021)","312","314",Rue de Montmorency,c
"LINESTRING (652889.179011195 6862729.22417052,652662.37090601 6862833.16978728)","315","317",Rue Chapon,c
"LINESTRING (652682.085351838 6862888.92597932,652857.197976713 6862811.54872006)","316","318",Rue des Gravilliers,c
"LINESTRING (652710.552207698 6863372.37880878,652491.039487661 6863441.15354878)","331","333",Rue Sainte Appolline,c
"LINESTRING (652570.432751599 6862987.11264562,652600.529158983 6862982.73009011)","336","338",Rue Aumaire,c
"LINESTRING (652585.509033504 6863063.67662957,652570.432751599 6862987.11264562)","348","350",Rue Saint Martin,c
"LINESTRING (653028.83511606 6862698.02409902,653075.058576003 6862658.24028157)","351","353",rue d Anjou,
"LINESTRING (653075.058576003 6862658.24028157,653136.581478626 6862606.50926711)","352","354",rue d Anjou,
"LINESTRING (653075.058576003 6862658.24028157,652992.481581993 6862548.62809482,653047.167211726 6862493.01514177)","353","355",ruelle de Sourdis,
"LINESTRING (652570.432751599 6862987.11264562,652556.204379267 6862946.99518598)","359","361",Rue Saint Martin,c
"LINESTRING (653090.364670102 6862774.86463422,652974.402590136 6862868.9555895)","360","362",rue Portefoin,
"LINESTRING (652974.402590136 6862868.9555895,652915.689799874 6862786.36104257)","361","363",Rue du Temple,c
"LINESTRING (652424.409891606 6862992.76757222,652474.554837454 6862996.7037759,652585.509033504 6863063.67662957)","384","386",rue Greneta,
"LINESTRING (652468.225287823 6863382.38460614,652594.555331588 6863338.36332357)","395","397",Passage Lemoine,
"LINESTRING (652404.273511543 6863303.35315093,652331.371160534 6863333.53936374)","399","401",Cul de Sac de la Grosse Tête,c
"LINESTRING (652322.535017102 6863319.2937082,652331.371160534 6863333.53936374)","411","413",Rue Saint Spire,c
"LINESTRING (652331.371160534 6863333.53936374,652348.724327541 6863361.09945284)","426","428",Rue Saint Spire,c
"LINESTRING (652627.949221761 6862712.53717374,652740.138823924 6862667.29257588,652815.273549923 6862620.1805969)","512","513",Rue Michel le Comte,c
"LINESTRING (652351.328325972 6863024.97388294,652340.111832534 6862986.57639207)","622","628",Rue Saint Denis,c
"LINESTRING (652207.118571053 6863270.12920606,652198.006584096 6863236.0637748,652216.541065706 6863230.56613243,652221.8942636 6863259.55345343,652235.799516703 6863255.95276278,652236.172233024 6863272.67223439,652210.569034285 6863266.15182755,652207.118571053 6863270.12920606)","644","650",Marché à la Marée,c
"LINESTRING (652202.547904778 6862854.70619974,652308.724998695 6862815.42648856)","728","734",Rue Mauconseil,c
"LINESTRING (653177.379888583 6862730.79824919,653169.417089971 6862720.83733586,653193.606154978 6862701.29447583,653211.346410265 6862724.06614261,653187.512445164 6862743.24788564,653177.379888583 6862730.79824919)","735","741",Marché des Enfants Rouges,
"LINESTRING (652316.87037039 6862856.77138024,652308.724998695 6862815.42648856)","740","746",Rue Saint Denis,c
"LINESTRING (652306.636441964 6862805.65617224,652366.380692762 6862785.1821285)","751","757",Rue aux Ours,c
"LINESTRING (652308.724998695 6862815.42648856,652306.636441964 6862805.65617224)","761","767",Rue Saint Denis,c
"LINESTRING (652275.965759655 6863408.4060597,652194.402588426 6863371.1123922,652146.342545795 6863356.88491184)","780","786",Rue de Clery,c
"LINESTRING (652306.636441964 6862805.65617224,652289.161813012 6862757.1437183)","795","801",Rue Saint Denis,c
"LINESTRING (652366.380692762 6862785.1821285,652380.877364735 6862781.79216727)","806","812",Rue aux Ours,c
"LINESTRING (652380.877364735 6862781.79216727,652427.928235524 6862763.24039102)","817","823",Rue aux Ours,c
"LINESTRING (652380.877364735 6862781.79216727,652402.44375241 6862885.10272974)","828","834",Rue Bourg l'Abbé,c
"LINESTRING (652340.111832534 6862986.57639207,652338.979811193 6862981.50209061)","866","873",Rue Saint Denis,c
"LINESTRING (652278.116958364 6862709.49165121,652273.020640353 6862694.45806333)","976","982",Rue Saint Denis,c
"LINESTRING (652273.020640353 6862694.45806333,652261.450250231 6862657.15302971)","978","984",Rue Saint Denis,c
"LINESTRING (652261.450250231 6862657.15302971,652252.08288712 6862622.73452583)","980","986",Rue Saint Denis,c
"LINESTRING (652596.203303611 6863094.64978778,652585.509033504 6863063.67662957)","989","995",Rue Saint Martin,c
"LINESTRING (652132.791692553 6862765.94808254,652172.036199218 6862751.03314809)","1013","1019",Rue de la Grande Truanderie,c
"LINESTRING (652172.036199218 6862751.03314809,652234.797109956 6862726.37137188)","1019","1025",Rue de la Grande Truanderie,c
"LINESTRING (652234.797109956 6862726.37137188,652278.116958364 6862709.49165121)","1020","1026",Rue de la Grande Truanderie,c
"LINESTRING (652164.73957067 6862729.50179785,652234.797109956 6862726.37137188)","1021","1027",Rue de la Petite Truanderie,c
"LINESTRING (652164.73957067 6862729.50179785,652172.036199218 6862751.03314809)","1022","1028",Rue Mondelour,c
"LINESTRING (652172.036199218 6862751.03314809,652186.699494384 6862793.22799104)","1023","1029",Rue Mondelour,c
"LINESTRING (652155.414647748 6863202.47384776,652268.021196751 6863166.90356723)","1279","1287",Rue Thévenot,c
"LINESTRING (652268.021196751 6863166.90356723,652391.525280634 6863129.35987357)","1282","1290",Rue Thévenot,c
"LINESTRING (652155.414647748 6863202.47384776,652173.285261921 6863224.15210454,652222.08102624 6863208.68814142)","1284","1292",Cul de Sac de l' Étoile,c
"LINESTRING (652105.809649216 6863121.59868589,652241.68817827 6863078.68230378)","1304","1312",Rue Saint Sauveur,c
"LINESTRING (652241.68817827 6863078.68230378,652358.095770946 6863047.59625035)","1305","1313",Rue Saint Sauveur,c
"LINESTRING (652241.68817827 6863078.68230378,652268.021196751 6863166.90356723)","1306","1314",Rue des Deux Portes,c
"LINESTRING (652119.786927981 6863262.23663517,652196.07326925 6863293.58569032)","1324","1332",Rue Neuve Saint Sauveur,c
"LINESTRING (652359.417418126 6863204.89987583,652413.839049413 6863187.13046181)","1327","1335",Cul de Sac Sainte Catherine,c
"LINESTRING (652413.839049413 6863187.13046181,652410.044098445 6863175.0483198)","1329","1337",Rue Saint Denis,c
"LINESTRING (652769.895621737 6863010.56253835,652766.273738562 6863011.68236999)","1376","1385",rue Royale,
"LINESTRING (652766.273738562 6863011.68236999,652751.79536103 6863017.25100731)","1378","1387",rue Royale,
"LINESTRING (652751.79536103 6863017.25100731,652731.891786101 6863025.40714913)","1379","1388",rue Royale,
"LINESTRING (652782.97965904 6863055.11750645,652759.957505278 6863064.24565519)","1380","1389",rue Saint Vannes,
"LINESTRING (652731.891786101 6863025.40714913,652713.071416802 6863032.82792478)","1381","1390",rue Royale,
"LINESTRING (652713.071416802 6863032.82792478,652701.854866713 6863037.6428826)","1382","1391",rue Royale,
"LINESTRING (652701.854866713 6863037.6428826,652693.890992977 6863040.6148537)","1383","1392",rue Royale,
"LINESTRING (652693.890992977 6863040.6148537,652614.993700108 6863072.14395703)","1385","1394",rue Royale,
"LINESTRING (652724.284981395 6863070.86229266,652715.216534531 6863072.02790107,652701.854866713 6863037.6428826)","1386","1395",rue de Breteuil,
"LINESTRING (652693.890992977 6863040.6148537,652700.576402649 6863058.35201882)","1387","1396",cul de sac Saint Nicolas,
"LINESTRING (652751.79536103 6863017.25100731,652765.504885021 6863049.81744244)","1389","1398",rue Saint Benoit,
"LINESTRING (652753.305685977 6862980.92536045,652766.273738562 6863011.68236999)","1391","1400",rue Saint Paxant,
"LINESTRING (652701.854866713 6863037.6428826,652688.139257796 6863004.35023591)","1392","1401",rue Henry 1er,
"LINESTRING (652766.273738562 6863011.68236999,652782.97965904 6863055.11750645)","1393","1402",rue Saint Maur,
"LINESTRING (652687.586999694 6863025.05326276,652693.890992977 6863040.6148537)","1395","1404",cul de sac Saint Nicolas,
"LINESTRING (652433.321443531 6863055.95172872,652472.885199925 6863047.17664521)","1406","1418",Rue St Alexandre,
